Country,Species,Year,TLW
CN,SAI,2011,0.0
CN,SAI,2012,0.0
CN,SAI,2013,0.0
CN,SAI,2014,0.0
CN,SWO,2006,2.0
CN,SWO,2007,2.0
CN,SWO,2008,0.0
CN,SWO,2009,0.0
CN,SWO,2010,0.0
CN,SWO,2011,0.0
CN,SWO,2012,0.0
CN,SWO,2013,0.0
CN,SWO,2014,0.0
CN,TUX,2006,24.0
CN,TUX,2007,16.0
CN,TUX,2008,0.0
CN,TUX,2009,0.0
CN,TUX,2010,4.0
CN,TUX,2011,0.0
CN,TUX,2012,0.0
CN,TUX,2013,0.0
CN,TUX,2014,0.0
CN,YFT,2006,18.0
CN,YFT,2007,4.0
CN,YFT,2008,0.0
CN,YFT,2009,0.0
CN,YFT,2010,0.0
CN,YFT,2011,0.0
CN,YFT,2012,0.0
CN,YFT,2013,0.0
CN,YFT,2014,0.0
DE,AES,2006,0.0
DE,AES,2007,0.0
DE,AES,2008,0.0
DE,AES,2009,0.0
DE,AES,2010,0.0
DE,AES,2011,0.0
DE,AES,2012,0.0
DE,AES,2013,0.0
DE,AES,2014,33.0
DE,ALC,2006,0.0
DE,ALC,2007,0.0
DE,ALC,2008,0.0
DE,ALC,2009,0.0
DE,ALC,2010,0.0
DE,ALC,2011,0.0
DE,ALC,2012,0.0
DE,ALC,2013,0.0
DE,ALC,2014,0.0
DE,ANE,2006,93.0
DE,ANE,2007,114.0
DE,ANE,2008,0.0
DE,ANE,2009,48.0
DE,ANE,2010,600.0
DE,ANE,2011,0.0
DE,ANE,2012,1191.0
DE,ANE,2013,1059.0
DE,ANE,2014,138.0
DE,ANF,2006,1002.0
DE,ANF,2007,2331.0
DE,ANF,2008,2487.0
DE,ANF,2009,2190.0
DE,ANF,2010,2339.0
DE,ANF,2011,1751.0
DE,ANF,2012,2410.0
DE,ANF,2013,2634.0
DE,ANF,2014,2942.0
DE,APO,2006,0.0
DE,APO,2007,0.0
DE,APO,2008,0.0
DE,APO,2009,0.0
DE,APO,2010,0.0
DE,APO,2011,0.0
DE,APO,2012,0.0
DE,APO,2013,0.0
DE,APO,2014,0.0
DE,ARG,2006,660.0
DE,ARG,2007,1767.0
DE,ARG,2008,0.0
DE,ARG,2009,0.0
DE,ARG,2010,0.0
DE,ARG,2011,0.0
DE,ARG,2012,0.0
DE,ARG,2013,0.0
DE,ARG,2014,0.0
DE,ARU,2006,0.0
DE,ARU,2007,0.0
DE,ARU,2008,0.0
DE,ARU,2009,90.0
DE,ARU,2010,0.0
DE,ARU,2011,0.0
DE,ARU,2012,1614.0
DE,ARU,2013,1251.0
DE,ARU,2014,3777.0
DE,ARY,2006,0.0
DE,ARY,2007,0.0
DE,ARY,2008,30.0
DE,ARY,2009,255.0
DE,ARY,2010,0.0
DE,ARY,2011,0.0
DE,ARY,2012,3429.0
DE,ARY,2013,934.0
DE,ARY,2014,518.0
DE,BFT,2006,0.0
DE,BFT,2007,0.0
DE,BFT,2008,0.0
DE,BFT,2009,0.0
DE,BFT,2010,0.0
DE,BFT,2011,0.0
